Date,SP500,SP500_PCH,UNRATE,UNRATE_PCH,CPI
2010-01-01,518.5274515533319600,0.75622,10.6,9.27835,216.687
2010-02-01,502.5168288417973500,-3.08771,10.4,-1.88679,216.741
2010-03-01,529.3587290653325600,5.34149,10.2,-1.92308,217.631
2010-04-01,549.2049367118745000,3.74910,9.5,-6.86275,218.009
2010-05-01,515.6631282714114200,-6.10734,9.3,-2.10526,218.178
2010-06-01,497.0343445465598100,-3.61259,9.6,3.22581,217.965
2010-07-01,495.2976378867733000,-0.34941,9.7,1.04167,218.011
2010-08-01,498.0405441419952800,0.55379,9.5,-2.06186,218.312
2010-09-01,513.6820369814478000,3.14061,9.2,-3.15789,218.439
2010-10-01,535.6766735664001900,4.28176,9.0,-2.17391,218.711
2010-11-01,547.9305911841114700,2.28756,9.3,3.33333,218.803
2010-12-01,566.4436166537189000,3.37872,9.1,-2.15054,219.179
2011-01-01,582.4180489776272200,2.82013,9.8,7.69231,220.223
2011-02-01,596.9562443176021300,2.49618,9.5,-3.06122,221.309
2011-03-01,583.7488698360481600,-2.21245,9.2,-3.15789,223.467
2011-04-01,592.0273358647612800,1.41816,8.7,-5.43478,224.906
2011-05-01,592.2671205105575200,0.04050,8.7,0.00000,225.964
2011-06-01,570.2982590813639600,-3.70928,9.3,6.89655,225.722
2011-07-01,586.5672665787307100,2.85272,9.3,0.00000,225.922
2011-08-01,523.2098047513355200,-10.80140,9.1,-2.15054,226.545
2011-09-01,517.3803258946214300,-1.11418,8.8,-3.29670,226.889
2011-10-01,533.1732438582068300,3.05248,8.5,-3.40909,226.421
2011-11-01,542.1094840270016000,1.67605,8.2,-3.52941,226.230
2011-12-01,550.9424550422104400,1.62937,8.3,1.21951,225.672
2012-01-01,573.7884102088985900,4.14670,8.8,6.02410,226.665
2012-02-01,594.0743555167067100,3.53544,8.7,-1.13636,227.663
2012-03-01,605.6183301946013800,1.94319,8.4,-3.44828,229.392
2012-04-01,602.5725275441684600,-0.50292,7.7,-8.33333,230.085
2012-05-01,583.6314980626709600,-3.14336,7.9,2.59740,229.815
2012-06-01,576.7368923009115100,-1.18133,8.4,6.32911,229.478
